X,thresh,start_time,end_time,id,centr,conflict,state,turn,dur,ang_vel,outcome,dist2pred,dist2fc,diff_flock_start,diff_flock_end,fl_turn,mainFlock_size,subFlock_size,dist_group,fl_size
5518,2,382.6,384.6,0,9.52778,1,2,20.59355137,2,10.29677568,turn,54.6045,8.87338,15.90016173,-28.18197412,-23.48858448,9,9,50-60,s
5519,2,4.2,7.8,1,5.09893,0,2,-1.297383604,3.6,-0.360384334,split,615.646,4.14885,-4.367788417,-4.410235362,-1.339830548,10,10,>60,s
5520,2,68.2,71,1,1.50875,0,2,-2.12463587,2.8,-0.758798525,split,426.875,2.17627,0.289906099,NA,NA,9,9,>60,s
5521,2,140.6,141.8,1,3.04882,0,2,8.463786636,1.2,7.05315553,split,63.5573,6.59956,-6.630605864,NA,NA,10,10,>60,s
5522,2,241,245,1,1.527,0,2,10.06515573,4,2.516288933,split,43.2255,1.37456,6.240604926,9.783991531,13.60854234,10,10,40-50,s
5523,2,297,300.2,1,0.924392,0,2,-15.41924433,3.2,-4.818513852,split,53.4388,1.60583,-1.708411078,34.31029853,20.59946528,8,8,50-60,s
5524,2,450.6,451.6,1,1.68995,1,2,-69.77123987,1,-69.77123987,split,92.0075,0.915623,7.572940355,83.02892176,5.684741535,10,10,>60,s
5525,2,48.4,50,2,2.76888,1,2,35.44271505,1.6,22.15169691,turn,35.366,2.7975,3.370352041,-25.82429467,6.248068345,10,10,30-40,s
5526,2,55.2,56.8,2,2.05511,0,2,11.74344884,1.6,7.339655527,turn,50.4499,1.80053,-2.732428454,-8.147318278,6.328559019,9,9,50-60,s
5527,2,89.6,90.4,2,3.19734,1,2,-0.221502268,0.8,-0.276877834,turn,78.9789,4.10406,-5.234931073,-4.565977952,0.447450853,9,9,>60,s
5528,2,119.2,122.6,2,2.35032,0,2,-4.406547732,3.4,-1.296043451,split,18.7268,1.93013,5.149740192,-5.409024916,-14.96531284,10,10,Oct/20,s
5529,2,77,78.2,3,2.4537,1,2,7.594578732,1.2,6.32881561,turn,20.5994,4.73347,-8.71693437,18.46246326,34.77397636,9,9,20-30,s
5530,2,83.6,84.2,3,9.24582,1,2,-17.54395696,0.6,-29.23992827,turn,34.7493,8.07769,-14.63498103,19.05588788,16.14691195,8,8,30-40,s
5531,2,478.6,478.8,3,1.48047,0,2,5.116751636,0.2,25.58375818,turn,32.6289,3.46261,-2.578731877,25.60428864,33.29977215,9,9,30-40,s
5532,2,492,493.8,3,1.968,1,2,16.57337934,1.8,9.207432965,split,31.3508,2.29756,-16.58323324,-80.73366373,-47.57705115,9,9,30-40,s
5533,2,76,76.6,4,1.75512,0,2,0.595250647,0.6,0.992084411,split,22.2731,1.51471,12.64931468,44.41506929,32.36100526,8,8,20-30,s
5534,2,135.6,137.6,4,17.3936,1,2,2.726741088,2,1.363370544,turn,74.4961,18.3032,-1.569275992,0.093422636,4.389439716,9,9,>60,s
5535,2,253,255.2,4,6.65839,1,2,-37.53852459,2.2,-17.06296572,split,78.5729,7.01513,2.642546683,38.36780832,-1.813262958,8,8,>60,s
5536,2,80.6,83.8,5,3.43221,1,2,1.826106971,3.2,0.570658428,split,25.229,5.70217,-3.903203291,-15.80692265,-10.07761238,8,8,20-30,s
5537,2,203.8,204.8,5,2.15697,0,2,17.83601838,1,17.83601838,turn,39.5769,2.42169,-2.031753544,19.48384861,39.35162053,10,10,30-40,s
5538,2,351,351.8,5,4.2232,1,2,3.942638842,0.8,4.928298553,turn,41.1643,3.47181,-5.319459147,18.07993081,27.3420288,8,8,40-50,s
5539,2,390.6,391.2,5,11.4918,1,2,19.03351033,0.6,31.72251722,split,94.8075,10.9899,-1.647378529,NA,NA,7,7,>60,s
5540,2,154,154.8,7,2.11249,0,2,-1.912213445,0.8,-2.390266806,turn,63.563,3.20925,2.289667437,-1.421659854,-5.623540735,10,10,>60,s
5541,2,247.4,249.6,7,2.49081,1,2,-61.05362615,2.2,-27.75164825,split,457.068,2.20832,-9.39515632,99.77381648,48.11534665,9,9,>60,s
5542,2,363.2,365.4,7,1.56039,1,2,-0.078941038,2.2,-0.03588229,turn,476.902,2.57021,-6.45125837,12.29953098,18.67184831,7,7,>60,s
5543,2,206.2,208.2,8,1.27274,1,2,2.541565497,2,1.270782748,turn,34.6142,1.35437,-0.577277318,-22.69536696,-19.57652414,10,10,30-40,s
5544,2,272.4,275,8,1.43695,0,2,-25.69652845,2.6,-9.883280175,split,120.552,1.61191,3.770486305,28.15083886,-1.316175901,9,9,>60,s
