"","X","thresh","start_time","end_time","id","centr","conflict","state","turn","dur","ang_vel","outcome","dist2pred","dist2fc","diff_flock_start","diff_flock_end","fl_turn","mainFlock_size","subFlock_size","dist_group","fl_size"
"5492",12758,2,101.8,102.4,3,5.17001,1,2,0.487510414306893,0.600000000000009,0.812517357178143,"turn",51.0922,3.09351,0.0157001252167379,7.49057286413827,7.96238315322842,24,24,"50-60","b"
"5493",12759,2,113.8,117,3,6.07335,1,2,37.8040135520128,3.2,11.813754235004,"turn",60.1354,5.53241,-7.4725542235841,29.3104913337597,74.5870591093565,18,18,">60","b"
"5494",12760,2,254.8,258,3,18.1527,1,2,-0.28116999415916,3.19999999999999,-0.0878656231747379,"turn",143.911,12.7559,2.75122934390892,-7.52626901985657,-10.5586683579247,21,21,">60","b"
"5495",12763,2,125.6,127.4,4,12.5774,1,2,2.29714961324649,1.80000000000001,1.27619422958137,"turn",177.188,17.2884,1.28934761037339,-11.4148584317289,-10.4070564288558,22,22,">60","b"
"5496",12764,2,227.8,231.6,4,1.22292,1,2,-6.00925007418625,3.79999999999998,-1.58138159847007,"turn",47.9708,5.14475,5.02906863189733,-13.7864198396342,-24.8247385457178,20,20,"40-50","b"
"5497",12766,2,13.6,15.4,6,1.7995,0,2,-13.344193709882,1.8,-7.41344094993444,"turn",53.2173,8.38749,-4.00218812287216,17.3616515056014,8.01964591859161,26,26,"50-60","b"
"5498",12770,2,413.6,414.6,6,4.47289,1,2,-18.5048899425674,1,-18.5048899425674,"turn",12.8815,4.97008,-1.16746654727236,4.1755161253544,-13.1619072699406,24,24,"10-20","b"
"5499",12771,2,108.8,110.6,7,4.19605,1,2,-23.0489015351793,1.8,-12.8049452973219,"turn",31.6177,5.32805,-6.29770841240382,-0.527985640835341,-17.2791787636108,24,24,"30-40","b"
"5500",12772,2,77,79.8,9,3.2795,0,2,3.35715340222263,2.8,1.19898335793665,"turn",31.7399,6.25192,-1.45202225347862,-26.0265356221676,-21.2173599664663,23,23,"30-40","b"
"5501",12773,2,122,123.8,9,3.00352,0,2,-0.291654665568921,1.8,-0.162030369760512,"turn",270.301,4.0077,-2.55089254477614,0.19801808435322,2.45725596356044,22,22,">60","b"
"5502",12777,2,284.2,287.6,10,10.1087,1,2,0.553622537038685,3.40000000000003,0.162830157952553,"turn",187.503,22.0334,5.03076542817549,0.736032020940558,-3.74111087019625,21,21,">60","b"
"5503",12781,2,75.8,77,12,6.69439,1,2,13.6012225895297,1.2,11.3343521579414,"turn",33.7962,7.75788,5.42567571583793,12.5036459905376,20.6791928642294,23,23,"30-40","b"
"5504",12782,2,108.8,109.6,12,12.1586,0,2,-2.73013028521068,0.799999999999997,-3.41266285651336,"turn",24.0285,10.9529,7.65311515214828,-4.47316060235089,-14.8564060397098,24,24,"20-30","b"
"5505",12787,2,33.4,36.6,15,27.5663,0,2,4.27012838516577,3.2,1.3344151203643,"turn",35.8591,28.7376,-0.657673753925388,-28.4651445071705,-23.5373423680793,24,24,"30-40","b"
"5506",12788,2,154.8,158,15,3.29803,0,2,-2.70003229731255,3.19999999999999,-0.843760092910175,"turn",71.1769,7.10089,7.26994353977034,4.01360196401087,-5.95637387307202,24,24,">60","b"
"5507",12789,2,4.8,8,16,6.49768,0,2,-2.27143690215472,3.2,-0.70982403192335,"turn",218.291,3.39711,-0.670484352326979,11.5564855894737,9.95553303964598,27,27,">60","b"
"5508",12790,2,75.6,76.4,16,13.4553,1,2,4.68204702025186,0.800000000000011,5.85255877531475,"turn",17.7612,10.2288,3.9388890772187,24.5622897311784,25.3054476742115,23,23,"10-20","b"
"5509",12794,2,234.6,235.2,17,1.69861,1,2,-0.354076512629524,0.599999999999994,-0.590127521049213,"turn",88.8114,0.766331,0.216589984775239,7.73932483007706,7.1686583326723,18,18,">60","b"
"5510",12795,2,437,438.8,17,0.956628,0,2,4.73629838019901,1.80000000000001,2.63127687788832,"turn",66.5648,3.65542,-0.10363952563665,-7.73995475078459,-2.90001684494893,13,13,">60","b"
"5511",12797,2,166.8,169.8,18,5.19545,1,2,5.0691130993079,3,1.68970436643597,"turn",64.9505,2.25974,1.69267624379411,20.9562870626738,24.3327239181876,22,22,">60","b"
"5512",12799,2,290.2,291.4,18,7.05874,0,2,11.5127099356897,1.19999999999999,9.5939249464082,"turn",156.765,13.7464,-6.83391418727373,-17.5317987567887,0.814825366174761,21,21,">60","b"
"5513",12807,2,88,88.8,22,1.32644,1,2,9.75559870798339,0.799999999999997,12.1944983849793,"turn",63.7666,2.90034,6.12557680593194,-7.23487399853811,-3.60485209648665,23,23,">60","b"
"5514",12808,2,475.4,477.8,22,9.64062,0,2,-9.4364207599925,2.40000000000003,-3.93184198333015,"turn",208.761,7.66075,-0.534072545389571,19.1017885166091,10.1994403020062,23,23,">60","b"
