X,ang_vel,split_val,condition
268,3.629723873,FALSE,p
269,0.786325249,FALSE,p
270,0.644080518,FALSE,p
271,1.498406785,FALSE,p
272,2.26010098,FALSE,p
273,7.785682418,FALSE,p
274,9.674521301,FALSE,p
275,5.704681037,FALSE,p
276,2.533673311,FALSE,p
277,0.449244525,FALSE,p
278,0.042406591,FALSE,p
279,2.814235862,FALSE,p
280,3.92660337,FALSE,p
281,11.59222584,FALSE,p
282,2.271013723,FALSE,p
283,10.90421963,FALSE,p
284,5.330884555,FALSE,p
285,1.734132138,FALSE,p
286,4.565154337,FALSE,p
287,1.850973198,FALSE,p
288,6.055865428,FALSE,p
289,4.549584574,FALSE,p
290,0.678725074,FALSE,p
291,63.3127364,FALSE,p
292,33.60166811,FALSE,p
293,4.214791966,FALSE,p
294,5.679357765,FALSE,p
295,9.273029379,FALSE,p
296,4.255555925,FALSE,p
297,0.005850824,FALSE,p
298,1.563585684,FALSE,p
299,2.860475585,FALSE,p
300,0.678632996,FALSE,p
301,0.558204686,FALSE,p
302,4.566394128,FALSE,p
303,1.100028125,FALSE,p
304,0.675749697,FALSE,p
305,12.81459894,FALSE,p
306,0.992967426,FALSE,p
307,4.727214375,FALSE,p
308,1.064945199,FALSE,p
309,1.58906275,FALSE,p
310,1.552583136,FALSE,p
311,2.367846567,FALSE,p
312,2.346952254,FALSE,p
313,56.17071566,FALSE,p
314,4.210286472,FALSE,p
315,2.078798647,FALSE,p
316,12.44231566,FALSE,p
317,2.156834132,FALSE,p
318,2.702214779,FALSE,p
319,0.203188708,FALSE,p
320,4.174487253,FALSE,p
321,2.996382089,FALSE,p
322,2.55231382,FALSE,p
323,0.372081676,FALSE,p
324,3.655948954,FALSE,p
325,0.627972307,FALSE,p
326,12.44113121,FALSE,p
327,3.073288478,FALSE,p
328,2.526419856,FALSE,p
329,5.3654373,FALSE,p
330,0.202343143,FALSE,p
331,0.832311249,FALSE,p
332,6.177417011,FALSE,p
333,5.483593043,FALSE,p
334,1.117994605,FALSE,p
335,0.73203918,FALSE,p
336,4.048542379,FALSE,p
337,3.002061475,FALSE,p
338,2.208689434,FALSE,p
339,5.794795841,FALSE,p
340,6.383604793,FALSE,p
341,2.180748558,FALSE,p
342,2.551821605,FALSE,p
343,0.438923344,FALSE,p
344,3.980730058,FALSE,p
345,1.974223269,FALSE,p
347,10.14038054,FALSE,p
348,15.62002077,FALSE,p
349,2.022056092,FALSE,p
350,7.012081125,FALSE,p
351,2.280264845,FALSE,p
352,4.409051926,FALSE,p
353,4.094864501,FALSE,p
354,2.220471461,FALSE,p
355,6.173509941,FALSE,p
356,2.511576129,FALSE,p
357,5.51476037,FALSE,p
358,6.621575587,FALSE,p
359,8.277994786,FALSE,p
360,10.94241792,FALSE,p
361,4.951522972,FALSE,p
362,4.265244606,FALSE,p
363,4.7455941,FALSE,p
364,7.603730275,FALSE,p
365,8.917240259,FALSE,p
366,3.51545164,FALSE,p
367,7.418974052,FALSE,p
368,0.591551552,FALSE,p
369,2.192651053,FALSE,p
370,2.072679119,FALSE,p
