"","time","lon","lat","speed","focal_head","flock_lat","flock_lon","ang_vel","turnornot","avt"
"52",10,-0.598255,51.373584,14.7152729271498,0.404817301473456,51.3729311428571,-0.597619857142857,-40.9341132810756,"1","-1"
"53",10.2,-0.598231,51.373609,15.121646405057,0.405378349323365,51.37294,-0.597571428571429,-40.9341132810756,"1","-1"
"54",10.4,-0.598206,51.373635,15.7302994260133,0.419765176483695,51.3729541428571,-0.597527714285714,-40.9341132810756,"1","-1"
"55",10.6,-0.598181,51.37366,15.2208372785191,0.419746520082905,51.3729728571429,-0.597489857142857,-40.9341132810756,"1","-1"
"56",10.8,-0.598156,51.373685,15.2207105478822,0.375977363956201,51.372993,-0.597456571428571,-40.9341132810756,"1","-1"
"57",11,-0.598133,51.373711,15.5409468196827,0.330647381945149,51.3730148571429,-0.597426428571429,4.65866509012655,"0","1"
"58",11.2,-0.598113,51.373737,15.2832419261752,0.279341647235896,51.3730377142857,-0.597399142857143,4.65866509012655,"0","1"
"59",11.4,-0.598095,51.373765,16.195093353984,0.289115064418924,51.37306,-0.597371857142857,4.65866509012655,"0","1"
"60",11.6,-0.598077,51.373792,15.6613511746674,0.273851603820531,51.3730825714286,-0.597343142857143,4.65866509012655,"0","1"
"61",11.8,-0.59806,51.373819,15.5923751014275,0.310801684104987,51.3731045714286,-0.597313714285714,4.65866509012655,"0","1"
"62",12,-0.598042,51.373844,14.5988517090531,0.326877431704693,51.3731265714286,-0.597284571428571,-8.55901019240869,"0","-1"
"63",12.2,-0.598023,51.373869,14.676534625487,0.403982786905233,51.3731478571429,-0.597254285714286,-8.55901019240869,"0","-1"
"64",12.4,-0.598,51.373893,14.5115936917424,0.485142244352659,51.3731682857143,-0.597223571428571,-8.55901019240869,"0","-1"
"65",12.6,-0.597974,51.373915,13.8270378662208,0.63446102627635,51.3731875714286,-0.597191714285714,-8.55901019240869,"0","-1"
"66",12.8,-0.597941,51.373935,13.8064735812163,0.793305177243962,51.3732062857143,-0.597158714285714,-8.55901019240869,"0","-1"
"67",13,-0.5979,51.373953,14.2663161667806,0.897764902128903,51.3732257142857,-0.597127428571429,-8.55901019240869,"0","-1"
"68",13.2,-0.597855,51.373969,14.2707743328725,1.01566773794028,51.3732461428571,-0.597099857142857,-8.55901019240869,"0","-1"
"69",13.4,-0.597808,51.373982,13.7138410569105,1.06862315757933,51.3732677142857,-0.597074714285714,-8.55901019240869,"0","-1"
"70",13.6,-0.597759,51.373994,13.8614685986033,1.13377070702276,51.3732902857143,-0.597051857142857,5.26133425655008,"0","1"
"71",13.8,-0.597711,51.374004,13.1365572308313,1.17278881796229,51.3733137142857,-0.597029571428571,5.26133425655008,"0","1"
"72",14,-0.597663,51.374013,12.9108747340465,1.21313196397635,51.3733367142857,-0.597007142857143,5.26133425655008,"0","1"
"73",14.2,-0.597615,51.374021,12.7055508002961,1.30280859183294,51.3733594285714,-0.596985142857143,5.26133425655008,"0","1"
"74",14.4,-0.597566,51.374027,12.5990213823838,1.39668408262697,51.3733821428571,-0.596963142857143,5.26133425655008,"0","1"
"75",14.6,-0.597515,51.374031,12.8392162230576,1.5707726079082,51.3734052857143,-0.596940857142857,5.26133425655008,"0","1"
"76",14.8,-0.597462,51.374031,13.1409826108499,1.65068441333592,51.3734285714286,-0.596918142857143,5.26133425655008,"0","1"
"77",15,-0.597406,51.374029,13.9292930250154,1.72419846222947,51.3734517142857,-0.596894428571429,5.26133425655008,"0","1"
"78",15.2,-0.597348,51.374025,14.5517531156615,1.75855720120652,51.3734748571429,-0.596868857142857,5.26133425655008,"0","1"
"79",15.4,-0.597289,51.37402,14.8906727310381,1.68824281320723,51.373497,-0.596840714285714,5.26133425655008,"0","1"
"80",15.6,-0.597232,51.374017,14.2311894304451,1.61386718049258,51.3735184285714,-0.596811142857143,5.26133425655008,"0","1"
"81",15.8,-0.59718,51.374016,12.9053962261415,1.72684348913421,51.3735391428571,-0.59678,5.26133425655008,"0","1"
"82",16,-0.597123,51.374012,14.3071351105047,1.82663137845401,51.3735598571429,-0.596748,5.26133425655008,"0","1"
"83",16.2,-0.597063,51.374005,15.3778745071055,1.93394780608461,51.3735801428571,-0.596714142857143,5.26133425655008,"0","1"
"84",16.4,-0.597004,51.373995,15.6503848738875,1.9861807458333,51.3736002857143,-0.596678857142857,5.26133425655008,"0","1"
"85",16.6,-0.596943,51.373983,16.5318302104065,1.96671361597238,51.3736202857143,-0.596643714285714,5.26133425655008,"0","1"
"86",16.8,-0.596884,51.373972,15.8570217549427,1.96076006688639,51.3736407142857,-0.596608285714286,5.26133425655008,"0","1"
"87",17,-0.596824,51.373961,16.0863948378092,1.89022772517811,51.3736611428571,-0.596571857142857,5.26133425655008,"0","1"
"88",17.2,-0.596763,51.373952,15.9329050659219,1.82660190071756,51.3736811428571,-0.596534,-18.1360254329967,"1","-1"
"89",17.4,-0.596703,51.373945,15.3796076036164,1.79493289333064,51.3737002857143,-0.596494142857143,-18.1360254329967,"1","-1"
